Four Hops 16byte Packet RX/TX 2.4G/2.5G AVG Gain 47 
PING 192.168.200.109 (192.168.200.109) 16(44) bytes of data.
24 bytes from 192.168.200.109: icmp_seq=4 ttl=64 time=55.5 ms
24 bytes from 192.168.200.109: icmp_seq=5 ttl=64 time=55.4 ms
24 bytes from 192.168.200.109: icmp_seq=8 ttl=64 time=54.1 ms
24 bytes from 192.168.200.109: icmp_seq=9 ttl=64 time=52.3 ms
24 bytes from 192.168.200.109: icmp_seq=10 ttl=64 time=52.7 ms
24 bytes from 192.168.200.109: icmp_seq=11 ttl=64 time=62.7 ms
24 bytes from 192.168.200.109: icmp_seq=12 ttl=64 time=52.2 ms
24 bytes from 192.168.200.109: icmp_seq=13 ttl=64 time=54.7 ms
24 bytes from 192.168.200.109: icmp_seq=14 ttl=64 time=54.3 ms
24 bytes from 192.168.200.109: icmp_seq=15 ttl=64 time=54.1 ms
24 bytes from 192.168.200.109: icmp_seq=18 ttl=64 time=54.5 ms
24 bytes from 192.168.200.109: icmp_seq=19 ttl=64 time=58.4 ms
24 bytes from 192.168.200.109: icmp_seq=20 ttl=64 time=56.1 ms
24 bytes from 192.168.200.109: icmp_seq=21 ttl=64 time=54.6 ms
24 bytes from 192.168.200.109: icmp_seq=22 ttl=64 time=52.3 ms
24 bytes from 192.168.200.109: icmp_seq=24 ttl=64 time=54.1 ms
24 bytes from 192.168.200.109: icmp_seq=29 ttl=64 time=50.2 ms
24 bytes from 192.168.200.109: icmp_seq=30 ttl=64 time=52.9 ms
24 bytes from 192.168.200.109: icmp_seq=32 ttl=64 time=55.4 ms
24 bytes from 192.168.200.109: icmp_seq=34 ttl=64 time=52.3 ms
24 bytes from 192.168.200.109: icmp_seq=36 ttl=64 time=53.7 ms
24 bytes from 192.168.200.109: icmp_seq=42 ttl=64 time=51.8 ms
24 bytes from 192.168.200.109: icmp_seq=43 ttl=64 time=53.5 ms
24 bytes from 192.168.200.109: icmp_seq=50 ttl=64 time=52.7 ms
24 bytes from 192.168.200.109: icmp_seq=51 ttl=64 time=53.3 ms
