Four Hops 32byte Packet RX/TX 915/902 AVG Gain 47 
PING 192.168.200.109 (192.168.200.109) 24(52) bytes of data.
32 bytes from 192.168.200.109: icmp_seq=160 ttl=64 time=56.6 ms
32 bytes from 192.168.200.109: icmp_seq=161 ttl=64 time=54.8 ms
32 bytes from 192.168.200.109: icmp_seq=162 ttl=64 time=53.9 ms
32 bytes from 192.168.200.109: icmp_seq=163 ttl=64 time=58.7 ms
32 bytes from 192.168.200.109: icmp_seq=165 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=166 ttl=64 time=56.4 ms
32 bytes from 192.168.200.109: icmp_seq=167 ttl=64 time=54.4 ms
32 bytes from 192.168.200.109: icmp_seq=169 ttl=64 time=54.8 ms
32 bytes from 192.168.200.109: icmp_seq=171 ttl=64 time=56.5 ms
32 bytes from 192.168.200.109: icmp_seq=172 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=173 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=174 ttl=64 time=58.4 ms
32 bytes from 192.168.200.109: icmp_seq=175 ttl=64 time=57.4 ms
32 bytes from 192.168.200.109: icmp_seq=176 ttl=64 time=60.6 ms
32 bytes from 192.168.200.109: icmp_seq=177 ttl=64 time=59.7 ms
32 bytes from 192.168.200.109: icmp_seq=178 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=179 ttl=64 time=59.1 ms
32 bytes from 192.168.200.109: icmp_seq=180 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=182 ttl=64 time=59.4 ms
32 bytes from 192.168.200.109: icmp_seq=183 ttl=64 time=53.4 ms
32 bytes from 192.168.200.109: icmp_seq=184 ttl=64 time=53.9 ms
32 bytes from 192.168.200.109: icmp_seq=185 ttl=64 time=62.7 ms
32 bytes from 192.168.200.109: icmp_seq=186 ttl=64 time=58.8 ms
32 bytes from 192.168.200.109: icmp_seq=187 ttl=64 time=52.4 ms
32 bytes from 192.168.200.109: icmp_seq=190 ttl=64 time=54.3 ms
32 bytes from 192.168.200.109: icmp_seq=191 ttl=64 time=56.4 ms
32 bytes from 192.168.200.109: icmp_seq=193 ttl=64 time=57.0 ms
32 bytes from 192.168.200.109: icmp_seq=195 ttl=64 time=54.2 ms
32 bytes from 192.168.200.109: icmp_seq=196 ttl=64 time=56.5 ms
32 bytes from 192.168.200.109: icmp_seq=197 ttl=64 time=58.3 ms
32 bytes from 192.168.200.109: icmp_seq=198 ttl=64 time=52.5 ms
32 bytes from 192.168.200.109: icmp_seq=201 ttl=64 time=55.8 ms
32 bytes from 192.168.200.109: icmp_seq=204 ttl=64 time=59.1 ms
32 bytes from 192.168.200.109: icmp_seq=205 ttl=64 time=58.1 ms
32 bytes from 192.168.200.109: icmp_seq=206 ttl=64 time=55.8 ms
32 bytes from 192.168.200.109: icmp_seq=207 ttl=64 time=57.6 ms
32 bytes from 192.168.200.109: icmp_seq=209 ttl=64 time=54.7 ms
32 bytes from 192.168.200.109: icmp_seq=210 ttl=64 time=56.7 ms
32 bytes from 192.168.200.109: icmp_seq=211 ttl=64 time=58.3 ms
32 bytes from 192.168.200.109: icmp_seq=213 ttl=64 time=57.2 ms
32 bytes from 192.168.200.109: icmp_seq=214 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=215 ttl=64 time=57.9 ms
32 bytes from 192.168.200.109: icmp_seq=216 ttl=64 time=56.4 ms
32 bytes from 192.168.200.109: icmp_seq=217 ttl=64 time=58.1 ms
32 bytes from 192.168.200.109: icmp_seq=218 ttl=64 time=58.7 ms
32 bytes from 192.168.200.109: icmp_seq=219 ttl=64 time=58.4 ms
32 bytes from 192.168.200.109: icmp_seq=220 ttl=64 time=59.1 ms
32 bytes from 192.168.200.109: icmp_seq=221 ttl=64 time=53.2 ms
32 bytes from 192.168.200.109: icmp_seq=222 ttl=64 time=57.8 ms
32 bytes from 192.168.200.109: icmp_seq=224 ttl=64 time=54.6 ms
32 bytes from 192.168.200.109: icmp_seq=225 ttl=64 time=59.7 ms
32 bytes from 192.168.200.109: icmp_seq=226 ttl=64 time=59.3 ms
32 bytes from 192.168.200.109: icmp_seq=227 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=229 ttl=64 time=54.9 ms
32 bytes from 192.168.200.109: icmp_seq=230 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=231 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=232 ttl=64 time=55.3 ms
32 bytes from 192.168.200.109: icmp_seq=233 ttl=64 time=58.8 ms
32 bytes from 192.168.200.109: icmp_seq=234 ttl=64 time=55.0 ms
32 bytes from 192.168.200.109: icmp_seq=235 ttl=64 time=53.8 ms
32 bytes from 192.168.200.109: icmp_seq=237 ttl=64 time=57.4 ms
32 bytes from 192.168.200.109: icmp_seq=238 ttl=64 time=54.4 ms
32 bytes from 192.168.200.109: icmp_seq=239 ttl=64 time=55.4 ms
32 bytes from 192.168.200.109: icmp_seq=240 ttl=64 time=55.4 ms
32 bytes from 192.168.200.109: icmp_seq=242 ttl=64 time=57.3 ms
32 bytes from 192.168.200.109: icmp_seq=243 ttl=64 time=56.5 ms
32 bytes from 192.168.200.109: icmp_seq=244 ttl=64 time=53.4 ms
32 bytes from 192.168.200.109: icmp_seq=246 ttl=64 time=57.6 ms
32 bytes from 192.168.200.109: icmp_seq=247 ttl=64 time=56.8 ms
32 bytes from 192.168.200.109: icmp_seq=248 ttl=64 time=57.7 ms
32 bytes from 192.168.200.109: icmp_seq=249 ttl=64 time=54.3 ms
32 bytes from 192.168.200.109: icmp_seq=250 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=251 ttl=64 time=58.2 ms
32 bytes from 192.168.200.109: icmp_seq=252 ttl=64 time=53.6 ms
32 bytes from 192.168.200.109: icmp_seq=253 ttl=64 time=56.2 ms
32 bytes from 192.168.200.109: icmp_seq=254 ttl=64 time=53.6 ms
32 bytes from 192.168.200.109: icmp_seq=255 ttl=64 time=56.5 ms
32 bytes from 192.168.200.109: icmp_seq=256 ttl=64 time=51.4 ms
32 bytes from 192.168.200.109: icmp_seq=257 ttl=64 time=59.0 ms
32 bytes from 192.168.200.109: icmp_seq=258 ttl=64 time=54.2 ms
32 bytes from 192.168.200.109: icmp_seq=259 ttl=64 time=55.4 ms
32 bytes from 192.168.200.109: icmp_seq=260 ttl=64 time=59.1 ms
32 bytes from 192.168.200.109: icmp_seq=261 ttl=64 time=53.8 ms
32 bytes from 192.168.200.109: icmp_seq=262 ttl=64 time=60.8 ms
32 bytes from 192.168.200.109: icmp_seq=263 ttl=64 time=57.9 ms
32 bytes from 192.168.200.109: icmp_seq=264 ttl=64 time=55.9 ms
32 bytes from 192.168.200.109: icmp_seq=265 ttl=64 time=57.4 ms
32 bytes from 192.168.200.109: icmp_seq=266 ttl=64 time=56.7 ms
32 bytes from 192.168.200.109: icmp_seq=267 ttl=64 time=61.6 ms
32 bytes from 192.168.200.109: icmp_seq=268 ttl=64 time=61.2 ms
32 bytes from 192.168.200.109: icmp_seq=269 ttl=64 time=53.3 ms
32 bytes from 192.168.200.109: icmp_seq=270 ttl=64 time=56.5 ms
32 bytes from 192.168.200.109: icmp_seq=271 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=272 ttl=64 time=55.2 ms
32 bytes from 192.168.200.109: icmp_seq=273 ttl=64 time=56.1 ms
32 bytes from 192.168.200.109: icmp_seq=274 ttl=64 time=55.6 ms
32 bytes from 192.168.200.109: icmp_seq=275 ttl=64 time=54.2 ms
32 bytes from 192.168.200.109: icmp_seq=277 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=278 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=279 ttl=64 time=58.8 ms
32 bytes from 192.168.200.109: icmp_seq=280 ttl=64 time=57.2 ms
32 bytes from 192.168.200.109: icmp_seq=281 ttl=64 time=54.4 ms
32 bytes from 192.168.200.109: icmp_seq=283 ttl=64 time=57.9 ms
32 bytes from 192.168.200.109: icmp_seq=284 ttl=64 time=57.9 ms
32 bytes from 192.168.200.109: icmp_seq=285 ttl=64 time=55.0 ms
32 bytes from 192.168.200.109: icmp_seq=287 ttl=64 time=58.3 ms
32 bytes from 192.168.200.109: icmp_seq=288 ttl=64 time=57.7 ms
32 bytes from 192.168.200.109: icmp_seq=289 ttl=64 time=61.2 ms
32 bytes from 192.168.200.109: icmp_seq=290 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=291 ttl=64 time=54.6 ms
32 bytes from 192.168.200.109: icmp_seq=292 ttl=64 time=55.3 ms
32 bytes from 192.168.200.109: icmp_seq=293 ttl=64 time=58.4 ms
32 bytes from 192.168.200.109: icmp_seq=294 ttl=64 time=53.6 ms
32 bytes from 192.168.200.109: icmp_seq=295 ttl=64 time=56.2 ms
32 bytes from 192.168.200.109: icmp_seq=296 ttl=64 time=57.8 ms
32 bytes from 192.168.200.109: icmp_seq=298 ttl=64 time=57.3 ms
32 bytes from 192.168.200.109: icmp_seq=299 ttl=64 time=57.6 ms
32 bytes from 192.168.200.109: icmp_seq=303 ttl=64 time=56.4 ms
32 bytes from 192.168.200.109: icmp_seq=304 ttl=64 time=56.2 ms
32 bytes from 192.168.200.109: icmp_seq=305 ttl=64 time=56.2 ms
32 bytes from 192.168.200.109: icmp_seq=307 ttl=64 time=58.6 ms
32 bytes from 192.168.200.109: icmp_seq=308 ttl=64 time=54.1 ms
32 bytes from 192.168.200.109: icmp_seq=309 ttl=64 time=59.9 ms
32 bytes from 192.168.200.109: icmp_seq=310 ttl=64 time=56.1 ms
32 bytes from 192.168.200.109: icmp_seq=311 ttl=64 time=58.5 ms
32 bytes from 192.168.200.109: icmp_seq=312 ttl=64 time=54.2 ms
32 bytes from 192.168.200.109: icmp_seq=314 ttl=64 time=58.3 ms
32 bytes from 192.168.200.109: icmp_seq=315 ttl=64 time=59.7 ms
32 bytes from 192.168.200.109: icmp_seq=317 ttl=64 time=56.1 ms
32 bytes from 192.168.200.109: icmp_seq=318 ttl=64 time=56.6 ms
32 bytes from 192.168.200.109: icmp_seq=320 ttl=64 time=57.0 ms
32 bytes from 192.168.200.109: icmp_seq=321 ttl=64 time=55.4 ms
32 bytes from 192.168.200.109: icmp_seq=322 ttl=64 time=54.2 ms
32 bytes from 192.168.200.109: icmp_seq=327 ttl=64 time=57.1 ms
32 bytes from 192.168.200.109: icmp_seq=334 ttl=64 time=57.0 ms
32 bytes from 192.168.200.109: icmp_seq=336 ttl=64 time=55.9 ms
32 bytes from 192.168.200.109: icmp_seq=339 ttl=64 time=55.0 ms
32 bytes from 192.168.200.109: icmp_seq=341 ttl=64 time=56.0 ms
32 bytes from 192.168.200.109: icmp_seq=343 ttl=64 time=55.6 ms
32 bytes from 192.168.200.109: icmp_seq=345 ttl=64 time=56.7 ms
32 bytes from 192.168.200.109: icmp_seq=353 ttl=64 time=60.6 ms
32 bytes from 192.168.200.109: icmp_seq=354 ttl=64 time=54.5 ms
32 bytes from 192.168.200.109: icmp_seq=355 ttl=64 time=52.2 ms
32 bytes from 192.168.200.109: icmp_seq=356 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=357 ttl=64 time=58.8 ms
32 bytes from 192.168.200.109: icmp_seq=358 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=359 ttl=64 time=58.4 ms
32 bytes from 192.168.200.109: icmp_seq=361 ttl=64 time=55.3 ms
32 bytes from 192.168.200.109: icmp_seq=362 ttl=64 time=53.2 ms
32 bytes from 192.168.200.109: icmp_seq=363 ttl=64 time=55.6 ms
32 bytes from 192.168.200.109: icmp_seq=365 ttl=64 time=57.8 ms
32 bytes from 192.168.200.109: icmp_seq=367 ttl=64 time=56.8 ms
32 bytes from 192.168.200.109: icmp_seq=369 ttl=64 time=60.2 ms
32 bytes from 192.168.200.109: icmp_seq=375 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=376 ttl=64 time=58.7 ms
32 bytes from 192.168.200.109: icmp_seq=377 ttl=64 time=54.7 ms
32 bytes from 192.168.200.109: icmp_seq=381 ttl=64 time=56.4 ms
32 bytes from 192.168.200.109: icmp_seq=382 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=384 ttl=64 time=57.4 ms
32 bytes from 192.168.200.109: icmp_seq=387 ttl=64 time=53.8 ms
32 bytes from 192.168.200.109: icmp_seq=388 ttl=64 time=59.9 ms
32 bytes from 192.168.200.109: icmp_seq=390 ttl=64 time=57.0 ms
32 bytes from 192.168.200.109: icmp_seq=391 ttl=64 time=57.4 ms
32 bytes from 192.168.200.109: icmp_seq=393 ttl=64 time=56.0 ms
32 bytes from 192.168.200.109: icmp_seq=394 ttl=64 time=58.5 ms
32 bytes from 192.168.200.109: icmp_seq=395 ttl=64 time=56.2 ms
32 bytes from 192.168.200.109: icmp_seq=396 ttl=64 time=56.7 ms
32 bytes from 192.168.200.109: icmp_seq=397 ttl=64 time=56.1 ms
32 bytes from 192.168.200.109: icmp_seq=399 ttl=64 time=57.4 ms
32 bytes from 192.168.200.109: icmp_seq=400 ttl=64 time=55.1 ms
32 bytes from 192.168.200.109: icmp_seq=402 ttl=64 time=54.3 ms
32 bytes from 192.168.200.109: icmp_seq=403 ttl=64 time=56.4 ms
32 bytes from 192.168.200.109: icmp_seq=404 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=405 ttl=64 time=59.4 ms
32 bytes from 192.168.200.109: icmp_seq=410 ttl=64 time=60.5 ms
32 bytes from 192.168.200.109: icmp_seq=412 ttl=64 time=59.7 ms
32 bytes from 192.168.200.109: icmp_seq=413 ttl=64 time=57.8 ms
32 bytes from 192.168.200.109: icmp_seq=415 ttl=64 time=56.7 ms
32 bytes from 192.168.200.109: icmp_seq=416 ttl=64 time=60.0 ms
32 bytes from 192.168.200.109: icmp_seq=419 ttl=64 time=61.1 ms
32 bytes from 192.168.200.109: icmp_seq=424 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=426 ttl=64 time=58.8 ms
32 bytes from 192.168.200.109: icmp_seq=427 ttl=64 time=54.4 ms
32 bytes from 192.168.200.109: icmp_seq=428 ttl=64 time=53.4 ms
32 bytes from 192.168.200.109: icmp_seq=429 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=430 ttl=64 time=55.7 ms
32 bytes from 192.168.200.109: icmp_seq=431 ttl=64 time=61.6 ms
32 bytes from 192.168.200.109: icmp_seq=434 ttl=64 time=53.6 ms
32 bytes from 192.168.200.109: icmp_seq=435 ttl=64 time=53.4 ms
32 bytes from 192.168.200.109: icmp_seq=436 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=437 ttl=64 time=57.9 ms
32 bytes from 192.168.200.109: icmp_seq=438 ttl=64 time=59.8 ms
32 bytes from 192.168.200.109: icmp_seq=439 ttl=64 time=59.2 ms
32 bytes from 192.168.200.109: icmp_seq=443 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=444 ttl=64 time=57.0 ms
32 bytes from 192.168.200.109: icmp_seq=445 ttl=64 time=61.2 ms
32 bytes from 192.168.200.109: icmp_seq=446 ttl=64 time=56.0 ms
32 bytes from 192.168.200.109: icmp_seq=449 ttl=64 time=58.5 ms
32 bytes from 192.168.200.109: icmp_seq=452 ttl=64 time=57.1 ms
32 bytes from 192.168.200.109: icmp_seq=454 ttl=64 time=56.6 ms
32 bytes from 192.168.200.109: icmp_seq=455 ttl=64 time=54.2 ms
32 bytes from 192.168.200.109: icmp_seq=456 ttl=64 time=54.6 ms
32 bytes from 192.168.200.109: icmp_seq=460 ttl=64 time=54.7 ms
32 bytes from 192.168.200.109: icmp_seq=461 ttl=64 time=60.7 ms
32 bytes from 192.168.200.109: icmp_seq=462 ttl=64 time=54.0 ms
32 bytes from 192.168.200.109: icmp_seq=471 ttl=64 time=57.1 ms
32 bytes from 192.168.200.109: icmp_seq=472 ttl=64 time=57.4 ms
32 bytes from 192.168.200.109: icmp_seq=475 ttl=64 time=59.4 ms
32 bytes from 192.168.200.109: icmp_seq=477 ttl=64 time=56.6 ms
32 bytes from 192.168.200.109: icmp_seq=479 ttl=64 time=59.9 ms
32 bytes from 192.168.200.109: icmp_seq=480 ttl=64 time=54.6 ms
32 bytes from 192.168.200.109: icmp_seq=481 ttl=64 time=55.0 ms
32 bytes from 192.168.200.109: icmp_seq=482 ttl=64 time=55.7 ms
32 bytes from 192.168.200.109: icmp_seq=483 ttl=64 time=55.4 ms
32 bytes from 192.168.200.109: icmp_seq=484 ttl=64 time=57.6 ms
32 bytes from 192.168.200.109: icmp_seq=485 ttl=64 time=57.6 ms
32 bytes from 192.168.200.109: icmp_seq=486 ttl=64 time=65.6 ms
32 bytes from 192.168.200.109: icmp_seq=487 ttl=64 time=59.3 ms
32 bytes from 192.168.200.109: icmp_seq=488 ttl=64 time=61.9 ms
