Four Hops TTL 128 RX/TX 2.4G/2.5G AVG Gain 47 
PING 192.168.200.109 (192.168.200.109) 56(84) bytes of data.
64 bytes from 192.168.200.109: icmp_seq=3 ttl=64 time=69.1 ms
64 bytes from 192.168.200.109: icmp_seq=12 ttl=64 time=91.1 ms
64 bytes from 192.168.200.109: icmp_seq=13 ttl=64 time=64.8 ms
64 bytes from 192.168.200.109: icmp_seq=14 ttl=64 time=64.8 ms
64 bytes from 192.168.200.109: icmp_seq=15 ttl=64 time=67.5 ms
64 bytes from 192.168.200.109: icmp_seq=22 ttl=64 time=67.0 ms
64 bytes from 192.168.200.109: icmp_seq=27 ttl=64 time=68.8 ms
64 bytes from 192.168.200.109: icmp_seq=31 ttl=64 time=63.9 ms
64 bytes from 192.168.200.109: icmp_seq=35 ttl=64 time=64.8 ms
64 bytes from 192.168.200.109: icmp_seq=38 ttl=64 time=65.4 ms
64 bytes from 192.168.200.109: icmp_seq=39 ttl=64 time=63.9 ms
64 bytes from 192.168.200.109: icmp_seq=42 ttl=64 time=72.6 ms
64 bytes from 192.168.200.109: icmp_seq=43 ttl=64 time=65.7 ms
64 bytes from 192.168.200.109: icmp_seq=44 ttl=64 time=66.1 ms
64 bytes from 192.168.200.109: icmp_seq=47 ttl=64 time=63.9 ms
64 bytes from 192.168.200.109: icmp_seq=52 ttl=64 time=67.1 ms
64 bytes from 192.168.200.109: icmp_seq=54 ttl=64 time=67.9 ms
64 bytes from 192.168.200.109: icmp_seq=57 ttl=64 time=66.7 ms
64 bytes from 192.168.200.109: icmp_seq=58 ttl=64 time=65.8 ms
64 bytes from 192.168.200.109: icmp_seq=59 ttl=64 time=68.3 ms
64 bytes from 192.168.200.109: icmp_seq=60 ttl=64 time=65.7 ms
64 bytes from 192.168.200.109: icmp_seq=61 ttl=64 time=68.7 ms
64 bytes from 192.168.200.109: icmp_seq=62 ttl=64 time=65.6 ms
64 bytes from 192.168.200.109: icmp_seq=65 ttl=64 time=63.8 ms
64 bytes from 192.168.200.109: icmp_seq=69 ttl=64 time=66.7 ms
64 bytes from 192.168.200.109: icmp_seq=73 ttl=64 time=65.1 ms
64 bytes from 192.168.200.109: icmp_seq=74 ttl=64 time=67.7 ms
64 bytes from 192.168.200.109: icmp_seq=76 ttl=64 time=66.0 ms
64 bytes from 192.168.200.109: icmp_seq=80 ttl=64 time=66.6 ms
64 bytes from 192.168.200.109: icmp_seq=81 ttl=64 time=66.5 ms
64 bytes from 192.168.200.109: icmp_seq=83 ttl=64 time=66.6 ms
64 bytes from 192.168.200.109: icmp_seq=88 ttl=64 time=66.0 ms
64 bytes from 192.168.200.109: icmp_seq=91 ttl=64 time=67.2 ms
64 bytes from 192.168.200.109: icmp_seq=92 ttl=64 time=63.8 ms
64 bytes from 192.168.200.109: icmp_seq=93 ttl=64 time=65.6 ms
64 bytes from 192.168.200.109: icmp_seq=96 ttl=64 time=67.2 ms
64 bytes from 192.168.200.109: icmp_seq=98 ttl=64 time=66.7 ms
64 bytes from 192.168.200.109: icmp_seq=99 ttl=64 time=66.3 ms
64 bytes from 192.168.200.109: icmp_seq=100 ttl=64 time=64.3 ms
64 bytes from 192.168.200.109: icmp_seq=101 ttl=64 time=66.4 ms
64 bytes from 192.168.200.109: icmp_seq=105 ttl=64 time=63.3 ms
64 bytes from 192.168.200.109: icmp_seq=108 ttl=64 time=73.4 ms
64 bytes from 192.168.200.109: icmp_seq=109 ttl=64 time=68.7 ms
64 bytes from 192.168.200.109: icmp_seq=111 ttl=64 time=67.4 ms
64 bytes from 192.168.200.109: icmp_seq=116 ttl=64 time=65.9 ms
64 bytes from 192.168.200.109: icmp_seq=118 ttl=64 time=70.1 ms
64 bytes from 192.168.200.109: icmp_seq=119 ttl=64 time=65.8 ms
64 bytes from 192.168.200.109: icmp_seq=120 ttl=64 time=67.7 ms
64 bytes from 192.168.200.109: icmp_seq=121 ttl=64 time=68.0 ms
64 bytes from 192.168.200.109: icmp_seq=123 ttl=64 time=63.6 ms
64 bytes from 192.168.200.109: icmp_seq=125 ttl=64 time=73.2 ms
64 bytes from 192.168.200.109: icmp_seq=126 ttl=64 time=66.6 ms
64 bytes from 192.168.200.109: icmp_seq=127 ttl=64 time=64.7 ms
64 bytes from 192.168.200.109: icmp_seq=132 ttl=64 time=68.0 ms
64 bytes from 192.168.200.109: icmp_seq=134 ttl=64 time=67.6 ms
64 bytes from 192.168.200.109: icmp_seq=141 ttl=64 time=63.2 ms
64 bytes from 192.168.200.109: icmp_seq=145 ttl=64 time=66.0 ms
64 bytes from 192.168.200.109: icmp_seq=146 ttl=64 time=72.7 ms
64 bytes from 192.168.200.109: icmp_seq=148 ttl=64 time=63.0 ms
64 bytes from 192.168.200.109: icmp_seq=149 ttl=64 time=63.3 ms
64 bytes from 192.168.200.109: icmp_seq=154 ttl=64 time=66.8 ms
64 bytes from 192.168.200.109: icmp_seq=155 ttl=64 time=68.4 ms
64 bytes from 192.168.200.109: icmp_seq=156 ttl=64 time=66.2 ms
64 bytes from 192.168.200.109: icmp_seq=161 ttl=64 time=65.7 ms
64 bytes from 192.168.200.109: icmp_seq=163 ttl=64 time=66.6 ms
64 bytes from 192.168.200.109: icmp_seq=169 ttl=64 time=64.9 ms
64 bytes from 192.168.200.109: icmp_seq=173 ttl=64 time=61.7 ms
64 bytes from 192.168.200.109: icmp_seq=174 ttl=64 time=65.3 ms
64 bytes from 192.168.200.109: icmp_seq=180 ttl=64 time=64.7 ms
64 bytes from 192.168.200.109: icmp_seq=193 ttl=64 time=64.9 ms
64 bytes from 192.168.200.109: icmp_seq=197 ttl=64 time=65.5 ms
64 bytes from 192.168.200.109: icmp_seq=202 ttl=64 time=66.3 ms
64 bytes from 192.168.200.109: icmp_seq=208 ttl=64 time=72.3 ms
64 bytes from 192.168.200.109: icmp_seq=217 ttl=64 time=67.3 ms
64 bytes from 192.168.200.109: icmp_seq=219 ttl=64 time=64.6 ms
64 bytes from 192.168.200.109: icmp_seq=225 ttl=64 time=65.3 ms
64 bytes from 192.168.200.109: icmp_seq=226 ttl=64 time=69.7 ms
64 bytes from 192.168.200.109: icmp_seq=237 ttl=64 time=63.5 ms
64 bytes from 192.168.200.109: icmp_seq=238 ttl=64 time=65.9 ms
64 bytes from 192.168.200.109: icmp_seq=240 ttl=64 time=67.1 ms
64 bytes from 192.168.200.109: icmp_seq=242 ttl=64 time=61.3 ms
64 bytes from 192.168.200.109: icmp_seq=254 ttl=64 time=68.1 ms
64 bytes from 192.168.200.109: icmp_seq=255 ttl=64 time=68.3 ms
64 bytes from 192.168.200.109: icmp_seq=258 ttl=64 time=64.8 ms
64 bytes from 192.168.200.109: icmp_seq=259 ttl=64 time=66.2 ms
64 bytes from 192.168.200.109: icmp_seq=260 ttl=64 time=65.2 ms
64 bytes from 192.168.200.109: icmp_seq=266 ttl=64 time=69.2 ms
64 bytes from 192.168.200.109: icmp_seq=269 ttl=64 time=65.6 ms
64 bytes from 192.168.200.109: icmp_seq=271 ttl=64 time=62.7 ms
64 bytes from 192.168.200.109: icmp_seq=276 ttl=64 time=63.4 ms
64 bytes from 192.168.200.109: icmp_seq=277 ttl=64 time=68.3 ms
64 bytes from 192.168.200.109: icmp_seq=286 ttl=64 time=69.0 ms
64 bytes from 192.168.200.109: icmp_seq=287 ttl=64 time=70.7 ms
64 bytes from 192.168.200.109: icmp_seq=291 ttl=64 time=66.2 ms
64 bytes from 192.168.200.109: icmp_seq=292 ttl=64 time=62.4 ms
64 bytes from 192.168.200.109: icmp_seq=293 ttl=64 time=66.2 ms
64 bytes from 192.168.200.109: icmp_seq=294 ttl=64 time=67.0 ms
64 bytes from 192.168.200.109: icmp_seq=295 ttl=64 time=65.6 ms
64 bytes from 192.168.200.109: icmp_seq=296 ttl=64 time=63.9 ms
64 bytes from 192.168.200.109: icmp_seq=298 ttl=64 time=65.4 ms
64 bytes from 192.168.200.109: icmp_seq=304 ttl=64 time=65.2 ms
64 bytes from 192.168.200.109: icmp_seq=307 ttl=64 time=66.6 ms
64 bytes from 192.168.200.109: icmp_seq=308 ttl=64 time=70.4 ms
64 bytes from 192.168.200.109: icmp_seq=309 ttl=64 time=66.3 ms
64 bytes from 192.168.200.109: icmp_seq=317 ttl=64 time=65.3 ms
64 bytes from 192.168.200.109: icmp_seq=320 ttl=64 time=64.4 ms
64 bytes from 192.168.200.109: icmp_seq=323 ttl=64 time=71.3 ms
64 bytes from 192.168.200.109: icmp_seq=325 ttl=64 time=66.8 ms
64 bytes from 192.168.200.109: icmp_seq=349 ttl=64 time=63.7 ms
64 bytes from 192.168.200.109: icmp_seq=351 ttl=64 time=69.3 ms
64 bytes from 192.168.200.109: icmp_seq=353 ttl=64 time=64.3 ms
64 bytes from 192.168.200.109: icmp_seq=355 ttl=64 time=67.7 ms
64 bytes from 192.168.200.109: icmp_seq=357 ttl=64 time=64.8 ms
64 bytes from 192.168.200.109: icmp_seq=358 ttl=64 time=66.8 ms
64 bytes from 192.168.200.109: icmp_seq=360 ttl=64 time=65.9 ms
64 bytes from 192.168.200.109: icmp_seq=363 ttl=64 time=64.6 ms
64 bytes from 192.168.200.109: icmp_seq=364 ttl=64 time=65.2 ms
64 bytes from 192.168.200.109: icmp_seq=366 ttl=64 time=65.7 ms
