Three Hops TTL 128 Packet RX/TX 915/902 AVG Gain 47 
PING 192.168.200.102 (192.168.200.102) 56(84) bytes of data.
64 bytes from 192.168.200.102: icmp_seq=121 ttl=64 time=50.1 ms
64 bytes from 192.168.200.102: icmp_seq=122 ttl=64 time=51.1 ms
64 bytes from 192.168.200.102: icmp_seq=125 ttl=64 time=49.9 ms
64 bytes from 192.168.200.102: icmp_seq=131 ttl=64 time=48.1 ms
64 bytes from 192.168.200.102: icmp_seq=132 ttl=64 time=52.4 ms
64 bytes from 192.168.200.102: icmp_seq=133 ttl=64 time=50.7 ms
64 bytes from 192.168.200.102: icmp_seq=134 ttl=64 time=50.3 ms
64 bytes from 192.168.200.102: icmp_seq=135 ttl=64 time=50.6 ms
64 bytes from 192.168.200.102: icmp_seq=136 ttl=64 time=50.3 ms
64 bytes from 192.168.200.102: icmp_seq=137 ttl=64 time=50.5 ms
64 bytes from 192.168.200.102: icmp_seq=138 ttl=64 time=53.9 ms
64 bytes from 192.168.200.102: icmp_seq=139 ttl=64 time=49.8 ms
64 bytes from 192.168.200.102: icmp_seq=140 ttl=64 time=49.6 ms
64 bytes from 192.168.200.102: icmp_seq=141 ttl=64 time=49.6 ms
64 bytes from 192.168.200.102: icmp_seq=142 ttl=64 time=51.5 ms
64 bytes from 192.168.200.102: icmp_seq=143 ttl=64 time=51.4 ms
64 bytes from 192.168.200.102: icmp_seq=144 ttl=64 time=49.7 ms
64 bytes from 192.168.200.102: icmp_seq=145 ttl=64 time=49.3 ms
64 bytes from 192.168.200.102: icmp_seq=146 ttl=64 time=51.7 ms
64 bytes from 192.168.200.102: icmp_seq=147 ttl=64 time=51.3 ms
64 bytes from 192.168.200.102: icmp_seq=148 ttl=64 time=49.6 ms
64 bytes from 192.168.200.102: icmp_seq=149 ttl=64 time=50.4 ms
64 bytes from 192.168.200.102: icmp_seq=150 ttl=64 time=50.1 ms
64 bytes from 192.168.200.102: icmp_seq=151 ttl=64 time=49.9 ms
64 bytes from 192.168.200.102: icmp_seq=152 ttl=64 time=52.7 ms
64 bytes from 192.168.200.102: icmp_seq=154 ttl=64 time=48.5 ms
64 bytes from 192.168.200.102: icmp_seq=155 ttl=64 time=50.7 ms
64 bytes from 192.168.200.102: icmp_seq=156 ttl=64 time=47.9 ms
64 bytes from 192.168.200.102: icmp_seq=157 ttl=64 time=50.4 ms
64 bytes from 192.168.200.102: icmp_seq=161 ttl=64 time=50.3 ms
64 bytes from 192.168.200.102: icmp_seq=166 ttl=64 time=52.8 ms
64 bytes from 192.168.200.102: icmp_seq=167 ttl=64 time=48.4 ms
64 bytes from 192.168.200.102: icmp_seq=172 ttl=64 time=52.6 ms
64 bytes from 192.168.200.102: icmp_seq=173 ttl=64 time=50.6 ms
64 bytes from 192.168.200.102: icmp_seq=179 ttl=64 time=52.9 ms
64 bytes from 192.168.200.102: icmp_seq=180 ttl=64 time=49.7 ms
64 bytes from 192.168.200.102: icmp_seq=181 ttl=64 time=51.0 ms
64 bytes from 192.168.200.102: icmp_seq=182 ttl=64 time=49.7 ms
64 bytes from 192.168.200.102: icmp_seq=183 ttl=64 time=49.2 ms
64 bytes from 192.168.200.102: icmp_seq=184 ttl=64 time=50.2 ms
64 bytes from 192.168.200.102: icmp_seq=185 ttl=64 time=48.1 ms
64 bytes from 192.168.200.102: icmp_seq=196 ttl=64 time=52.7 ms
64 bytes from 192.168.200.102: icmp_seq=197 ttl=64 time=53.6 ms
64 bytes from 192.168.200.102: icmp_seq=198 ttl=64 time=49.4 ms
64 bytes from 192.168.200.102: icmp_seq=204 ttl=64 time=50.1 ms
64 bytes from 192.168.200.102: icmp_seq=205 ttl=64 time=53.4 ms
64 bytes from 192.168.200.102: icmp_seq=206 ttl=64 time=51.9 ms
64 bytes from 192.168.200.102: icmp_seq=207 ttl=64 time=50.1 ms
64 bytes from 192.168.200.102: icmp_seq=208 ttl=64 time=50.4 ms
64 bytes from 192.168.200.102: icmp_seq=209 ttl=64 time=49.5 ms
64 bytes from 192.168.200.102: icmp_seq=210 ttl=64 time=51.4 ms
64 bytes from 192.168.200.102: icmp_seq=212 ttl=64 time=53.4 ms
64 bytes from 192.168.200.102: icmp_seq=216 ttl=64 time=51.8 ms
