Four Hops TTL 255 RX/TX 915/902 AVG Gain 47 
PING 192.168.200.109 (192.168.200.109) 56(84) bytes of data.
64 bytes from 192.168.200.109: icmp_seq=1 ttl=64 time=64.2 ms
64 bytes from 192.168.200.109: icmp_seq=14 ttl=64 time=66.8 ms
64 bytes from 192.168.200.109: icmp_seq=15 ttl=64 time=65.6 ms
64 bytes from 192.168.200.109: icmp_seq=16 ttl=64 time=65.4 ms
64 bytes from 192.168.200.109: icmp_seq=20 ttl=64 time=62.7 ms
64 bytes from 192.168.200.109: icmp_seq=21 ttl=64 time=64.6 ms
64 bytes from 192.168.200.109: icmp_seq=22 ttl=64 time=68.6 ms
64 bytes from 192.168.200.109: icmp_seq=27 ttl=64 time=62.2 ms
64 bytes from 192.168.200.109: icmp_seq=28 ttl=64 time=64.9 ms
64 bytes from 192.168.200.109: icmp_seq=30 ttl=64 time=65.1 ms
64 bytes from 192.168.200.109: icmp_seq=32 ttl=64 time=60.5 ms
64 bytes from 192.168.200.109: icmp_seq=34 ttl=64 time=67.7 ms
64 bytes from 192.168.200.109: icmp_seq=36 ttl=64 time=63.0 ms
64 bytes from 192.168.200.109: icmp_seq=37 ttl=64 time=69.7 ms
64 bytes from 192.168.200.109: icmp_seq=40 ttl=64 time=71.5 ms
64 bytes from 192.168.200.109: icmp_seq=41 ttl=64 time=67.6 ms
64 bytes from 192.168.200.109: icmp_seq=42 ttl=64 time=62.5 ms
64 bytes from 192.168.200.109: icmp_seq=43 ttl=64 time=66.2 ms
64 bytes from 192.168.200.109: icmp_seq=44 ttl=64 time=68.8 ms
64 bytes from 192.168.200.109: icmp_seq=53 ttl=64 time=69.7 ms
64 bytes from 192.168.200.109: icmp_seq=65 ttl=64 time=60.3 ms
64 bytes from 192.168.200.109: icmp_seq=66 ttl=64 time=64.0 ms
64 bytes from 192.168.200.109: icmp_seq=69 ttl=64 time=64.1 ms
64 bytes from 192.168.200.109: icmp_seq=75 ttl=64 time=64.3 ms
64 bytes from 192.168.200.109: icmp_seq=78 ttl=64 time=67.4 ms
64 bytes from 192.168.200.109: icmp_seq=81 ttl=64 time=66.3 ms
64 bytes from 192.168.200.109: icmp_seq=86 ttl=64 time=73.0 ms
64 bytes from 192.168.200.109: icmp_seq=87 ttl=64 time=61.4 ms
64 bytes from 192.168.200.109: icmp_seq=88 ttl=64 time=63.3 ms
64 bytes from 192.168.200.109: icmp_seq=89 ttl=64 time=64.0 ms
64 bytes from 192.168.200.109: icmp_seq=90 ttl=64 time=66.1 ms
64 bytes from 192.168.200.109: icmp_seq=92 ttl=64 time=62.5 ms
64 bytes from 192.168.200.109: icmp_seq=93 ttl=64 time=62.0 ms
64 bytes from 192.168.200.109: icmp_seq=94 ttl=64 time=65.1 ms
64 bytes from 192.168.200.109: icmp_seq=95 ttl=64 time=67.2 ms
64 bytes from 192.168.200.109: icmp_seq=102 ttl=64 time=73.4 ms
64 bytes from 192.168.200.109: icmp_seq=103 ttl=64 time=64.2 ms
64 bytes from 192.168.200.109: icmp_seq=108 ttl=64 time=65.2 ms
64 bytes from 192.168.200.109: icmp_seq=110 ttl=64 time=62.2 ms
64 bytes from 192.168.200.109: icmp_seq=112 ttl=64 time=61.5 ms
64 bytes from 192.168.200.109: icmp_seq=114 ttl=64 time=65.3 ms
64 bytes from 192.168.200.109: icmp_seq=115 ttl=64 time=67.3 ms
64 bytes from 192.168.200.109: icmp_seq=116 ttl=64 time=67.3 ms
64 bytes from 192.168.200.109: icmp_seq=118 ttl=64 time=65.3 ms
64 bytes from 192.168.200.109: icmp_seq=119 ttl=64 time=65.7 ms
64 bytes from 192.168.200.109: icmp_seq=120 ttl=64 time=63.3 ms
64 bytes from 192.168.200.109: icmp_seq=121 ttl=64 time=63.8 ms
64 bytes from 192.168.200.109: icmp_seq=125 ttl=64 time=62.4 ms
64 bytes from 192.168.200.109: icmp_seq=126 ttl=64 time=66.7 ms
64 bytes from 192.168.200.109: icmp_seq=129 ttl=64 time=73.0 ms
64 bytes from 192.168.200.109: icmp_seq=130 ttl=64 time=65.8 ms
64 bytes from 192.168.200.109: icmp_seq=132 ttl=64 time=67.8 ms
64 bytes from 192.168.200.109: icmp_seq=133 ttl=64 time=65.6 ms
64 bytes from 192.168.200.109: icmp_seq=134 ttl=64 time=69.8 ms
64 bytes from 192.168.200.109: icmp_seq=135 ttl=64 time=72.1 ms
64 bytes from 192.168.200.109: icmp_seq=136 ttl=64 time=64.2 ms
64 bytes from 192.168.200.109: icmp_seq=138 ttl=64 time=63.3 ms
64 bytes from 192.168.200.109: icmp_seq=139 ttl=64 time=65.5 ms
64 bytes from 192.168.200.109: icmp_seq=143 ttl=64 time=66.0 ms
64 bytes from 192.168.200.109: icmp_seq=144 ttl=64 time=69.4 ms
64 bytes from 192.168.200.109: icmp_seq=151 ttl=64 time=68.6 ms
64 bytes from 192.168.200.109: icmp_seq=154 ttl=64 time=67.1 ms
64 bytes from 192.168.200.109: icmp_seq=159 ttl=64 time=63.9 ms
64 bytes from 192.168.200.109: icmp_seq=161 ttl=64 time=65.0 ms
64 bytes from 192.168.200.109: icmp_seq=162 ttl=64 time=65.6 ms
64 bytes from 192.168.200.109: icmp_seq=165 ttl=64 time=71.4 ms
64 bytes from 192.168.200.109: icmp_seq=166 ttl=64 time=65.3 ms
64 bytes from 192.168.200.109: icmp_seq=167 ttl=64 time=63.5 ms
64 bytes from 192.168.200.109: icmp_seq=168 ttl=64 time=68.2 ms
64 bytes from 192.168.200.109: icmp_seq=169 ttl=64 time=70.5 ms
64 bytes from 192.168.200.109: icmp_seq=170 ttl=64 time=68.6 ms
64 bytes from 192.168.200.109: icmp_seq=171 ttl=64 time=64.2 ms
64 bytes from 192.168.200.109: icmp_seq=172 ttl=64 time=64.6 ms
64 bytes from 192.168.200.109: icmp_seq=173 ttl=64 time=64.3 ms
64 bytes from 192.168.200.109: icmp_seq=174 ttl=64 time=66.7 ms
64 bytes from 192.168.200.109: icmp_seq=175 ttl=64 time=64.4 ms
64 bytes from 192.168.200.109: icmp_seq=177 ttl=64 time=64.2 ms
64 bytes from 192.168.200.109: icmp_seq=178 ttl=64 time=68.4 ms
64 bytes from 192.168.200.109: icmp_seq=181 ttl=64 time=66.7 ms
64 bytes from 192.168.200.109: icmp_seq=182 ttl=64 time=66.5 ms
64 bytes from 192.168.200.109: icmp_seq=185 ttl=64 time=67.5 ms
64 bytes from 192.168.200.109: icmp_seq=187 ttl=64 time=66.9 ms
64 bytes from 192.168.200.109: icmp_seq=188 ttl=64 time=62.2 ms
64 bytes from 192.168.200.109: icmp_seq=193 ttl=64 time=71.1 ms
64 bytes from 192.168.200.109: icmp_seq=196 ttl=64 time=65.7 ms
64 bytes from 192.168.200.109: icmp_seq=207 ttl=64 time=62.6 ms
64 bytes from 192.168.200.109: icmp_seq=208 ttl=64 time=64.7 ms
64 bytes from 192.168.200.109: icmp_seq=209 ttl=64 time=60.1 ms
64 bytes from 192.168.200.109: icmp_seq=210 ttl=64 time=64.6 ms
64 bytes from 192.168.200.109: icmp_seq=211 ttl=64 time=64.8 ms
64 bytes from 192.168.200.109: icmp_seq=212 ttl=64 time=68.3 ms
64 bytes from 192.168.200.109: icmp_seq=213 ttl=64 time=68.4 ms
64 bytes from 192.168.200.109: icmp_seq=214 ttl=64 time=66.9 ms
64 bytes from 192.168.200.109: icmp_seq=215 ttl=64 time=65.2 ms
64 bytes from 192.168.200.109: icmp_seq=217 ttl=64 time=66.5 ms
64 bytes from 192.168.200.109: icmp_seq=221 ttl=64 time=69.6 ms
64 bytes from 192.168.200.109: icmp_seq=222 ttl=64 time=63.2 ms
64 bytes from 192.168.200.109: icmp_seq=228 ttl=64 time=65.1 ms
64 bytes from 192.168.200.109: icmp_seq=232 ttl=64 time=63.8 ms
64 bytes from 192.168.200.109: icmp_seq=233 ttl=64 time=69.8 ms
64 bytes from 192.168.200.109: icmp_seq=236 ttl=64 time=66.4 ms
64 bytes from 192.168.200.109: icmp_seq=238 ttl=64 time=66.0 ms
64 bytes from 192.168.200.109: icmp_seq=240 ttl=64 time=62.9 ms
64 bytes from 192.168.200.109: icmp_seq=241 ttl=64 time=67.6 ms
64 bytes from 192.168.200.109: icmp_seq=245 ttl=64 time=66.9 ms
64 bytes from 192.168.200.109: icmp_seq=246 ttl=64 time=64.8 ms
64 bytes from 192.168.200.109: icmp_seq=247 ttl=64 time=66.5 ms
64 bytes from 192.168.200.109: icmp_seq=248 ttl=64 time=66.4 ms
64 bytes from 192.168.200.109: icmp_seq=249 ttl=64 time=66.5 ms
64 bytes from 192.168.200.109: icmp_seq=252 ttl=64 time=64.2 ms
64 bytes from 192.168.200.109: icmp_seq=253 ttl=64 time=68.5 ms
64 bytes from 192.168.200.109: icmp_seq=258 ttl=64 time=66.0 ms
64 bytes from 192.168.200.109: icmp_seq=260 ttl=64 time=67.5 ms
64 bytes from 192.168.200.109: icmp_seq=262 ttl=64 time=64.7 ms
64 bytes from 192.168.200.109: icmp_seq=263 ttl=64 time=66.5 ms
64 bytes from 192.168.200.109: icmp_seq=264 ttl=64 time=62.3 ms
