Four Hops 32byte Packet RX/TX 915/928 AVG Gain 47 
PING 192.168.200.109 (192.168.200.109) 24(52) bytes of data.
32 bytes from 192.168.200.109: icmp_seq=128 ttl=64 time=58.4 ms
32 bytes from 192.168.200.109: icmp_seq=131 ttl=64 time=58.1 ms
32 bytes from 192.168.200.109: icmp_seq=133 ttl=64 time=59.5 ms
32 bytes from 192.168.200.109: icmp_seq=134 ttl=64 time=55.4 ms
32 bytes from 192.168.200.109: icmp_seq=135 ttl=64 time=57.9 ms
32 bytes from 192.168.200.109: icmp_seq=136 ttl=64 time=54.1 ms
32 bytes from 192.168.200.109: icmp_seq=141 ttl=64 time=56.4 ms
32 bytes from 192.168.200.109: icmp_seq=143 ttl=64 time=57.7 ms
32 bytes from 192.168.200.109: icmp_seq=144 ttl=64 time=59.5 ms
32 bytes from 192.168.200.109: icmp_seq=146 ttl=64 time=56.9 ms
32 bytes from 192.168.200.109: icmp_seq=147 ttl=64 time=56.5 ms
32 bytes from 192.168.200.109: icmp_seq=149 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=153 ttl=64 time=58.2 ms
32 bytes from 192.168.200.109: icmp_seq=154 ttl=64 time=56.7 ms
32 bytes from 192.168.200.109: icmp_seq=157 ttl=64 time=55.0 ms
32 bytes from 192.168.200.109: icmp_seq=158 ttl=64 time=53.4 ms
32 bytes from 192.168.200.109: icmp_seq=159 ttl=64 time=62.3 ms
32 bytes from 192.168.200.109: icmp_seq=163 ttl=64 time=54.7 ms
32 bytes from 192.168.200.109: icmp_seq=165 ttl=64 time=54.0 ms
32 bytes from 192.168.200.109: icmp_seq=166 ttl=64 time=55.4 ms
32 bytes from 192.168.200.109: icmp_seq=167 ttl=64 time=55.6 ms
32 bytes from 192.168.200.109: icmp_seq=168 ttl=64 time=59.3 ms
32 bytes from 192.168.200.109: icmp_seq=169 ttl=64 time=55.6 ms
32 bytes from 192.168.200.109: icmp_seq=170 ttl=64 time=55.7 ms
32 bytes from 192.168.200.109: icmp_seq=171 ttl=64 time=59.5 ms
32 bytes from 192.168.200.109: icmp_seq=172 ttl=64 time=59.7 ms
32 bytes from 192.168.200.109: icmp_seq=173 ttl=64 time=55.3 ms
32 bytes from 192.168.200.109: icmp_seq=175 ttl=64 time=53.9 ms
32 bytes from 192.168.200.109: icmp_seq=176 ttl=64 time=53.4 ms
32 bytes from 192.168.200.109: icmp_seq=177 ttl=64 time=59.6 ms
32 bytes from 192.168.200.109: icmp_seq=178 ttl=64 time=57.7 ms
32 bytes from 192.168.200.109: icmp_seq=179 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=180 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=183 ttl=64 time=54.9 ms
32 bytes from 192.168.200.109: icmp_seq=184 ttl=64 time=55.7 ms
32 bytes from 192.168.200.109: icmp_seq=185 ttl=64 time=56.2 ms
32 bytes from 192.168.200.109: icmp_seq=186 ttl=64 time=56.5 ms
32 bytes from 192.168.200.109: icmp_seq=187 ttl=64 time=58.6 ms
32 bytes from 192.168.200.109: icmp_seq=188 ttl=64 time=54.4 ms
32 bytes from 192.168.200.109: icmp_seq=189 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=191 ttl=64 time=56.1 ms
32 bytes from 192.168.200.109: icmp_seq=192 ttl=64 time=60.5 ms
32 bytes from 192.168.200.109: icmp_seq=195 ttl=64 time=54.1 ms
32 bytes from 192.168.200.109: icmp_seq=196 ttl=64 time=54.4 ms
32 bytes from 192.168.200.109: icmp_seq=197 ttl=64 time=57.4 ms
32 bytes from 192.168.200.109: icmp_seq=198 ttl=64 time=59.7 ms
32 bytes from 192.168.200.109: icmp_seq=199 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=201 ttl=64 time=56.0 ms
32 bytes from 192.168.200.109: icmp_seq=204 ttl=64 time=60.9 ms
32 bytes from 192.168.200.109: icmp_seq=205 ttl=64 time=58.5 ms
32 bytes from 192.168.200.109: icmp_seq=206 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=209 ttl=64 time=57.2 ms
32 bytes from 192.168.200.109: icmp_seq=213 ttl=64 time=53.8 ms
32 bytes from 192.168.200.109: icmp_seq=214 ttl=64 time=53.4 ms
32 bytes from 192.168.200.109: icmp_seq=225 ttl=64 time=54.2 ms
32 bytes from 192.168.200.109: icmp_seq=226 ttl=64 time=56.5 ms
32 bytes from 192.168.200.109: icmp_seq=227 ttl=64 time=58.5 ms
32 bytes from 192.168.200.109: icmp_seq=228 ttl=64 time=58.4 ms
32 bytes from 192.168.200.109: icmp_seq=229 ttl=64 time=54.3 ms
32 bytes from 192.168.200.109: icmp_seq=231 ttl=64 time=55.8 ms
32 bytes from 192.168.200.109: icmp_seq=232 ttl=64 time=57.5 ms
32 bytes from 192.168.200.109: icmp_seq=233 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=234 ttl=64 time=53.4 ms
32 bytes from 192.168.200.109: icmp_seq=236 ttl=64 time=56.0 ms
32 bytes from 192.168.200.109: icmp_seq=237 ttl=64 time=56.1 ms
32 bytes from 192.168.200.109: icmp_seq=238 ttl=64 time=52.7 ms
32 bytes from 192.168.200.109: icmp_seq=239 ttl=64 time=56.7 ms
32 bytes from 192.168.200.109: icmp_seq=240 ttl=64 time=54.1 ms
32 bytes from 192.168.200.109: icmp_seq=241 ttl=64 time=52.6 ms
32 bytes from 192.168.200.109: icmp_seq=242 ttl=64 time=55.2 ms
32 bytes from 192.168.200.109: icmp_seq=244 ttl=64 time=52.3 ms
32 bytes from 192.168.200.109: icmp_seq=245 ttl=64 time=53.1 ms
32 bytes from 192.168.200.109: icmp_seq=247 ttl=64 time=57.3 ms
32 bytes from 192.168.200.109: icmp_seq=249 ttl=64 time=56.7 ms
32 bytes from 192.168.200.109: icmp_seq=250 ttl=64 time=58.3 ms
32 bytes from 192.168.200.109: icmp_seq=251 ttl=64 time=54.5 ms
32 bytes from 192.168.200.109: icmp_seq=253 ttl=64 time=59.1 ms
32 bytes from 192.168.200.109: icmp_seq=255 ttl=64 time=56.3 ms
32 bytes from 192.168.200.109: icmp_seq=256 ttl=64 time=54.5 ms
32 bytes from 192.168.200.109: icmp_seq=257 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=258 ttl=64 time=56.7 ms
32 bytes from 192.168.200.109: icmp_seq=259 ttl=64 time=58.6 ms
32 bytes from 192.168.200.109: icmp_seq=260 ttl=64 time=58.1 ms
32 bytes from 192.168.200.109: icmp_seq=261 ttl=64 time=52.6 ms
32 bytes from 192.168.200.109: icmp_seq=262 ttl=64 time=56.6 ms
32 bytes from 192.168.200.109: icmp_seq=263 ttl=64 time=58.6 ms
32 bytes from 192.168.200.109: icmp_seq=264 ttl=64 time=52.1 ms
32 bytes from 192.168.200.109: icmp_seq=265 ttl=64 time=58.7 ms
32 bytes from 192.168.200.109: icmp_seq=266 ttl=64 time=60.5 ms
32 bytes from 192.168.200.109: icmp_seq=267 ttl=64 time=58.0 ms
32 bytes from 192.168.200.109: icmp_seq=268 ttl=64 time=56.6 ms
32 bytes from 192.168.200.109: icmp_seq=269 ttl=64 time=54.5 ms
32 bytes from 192.168.200.109: icmp_seq=271 ttl=64 time=60.2 ms
32 bytes from 192.168.200.109: icmp_seq=273 ttl=64 time=57.3 ms
32 bytes from 192.168.200.109: icmp_seq=274 ttl=64 time=55.5 ms
32 bytes from 192.168.200.109: icmp_seq=275 ttl=64 time=55.8 ms
32 bytes from 192.168.200.109: icmp_seq=276 ttl=64 time=55.8 ms
32 bytes from 192.168.200.109: icmp_seq=277 ttl=64 time=57.4 ms
32 bytes from 192.168.200.109: icmp_seq=278 ttl=64 time=57.3 ms
32 bytes from 192.168.200.109: icmp_seq=279 ttl=64 time=57.3 ms
32 bytes from 192.168.200.109: icmp_seq=280 ttl=64 time=56.5 ms
32 bytes from 192.168.200.109: icmp_seq=281 ttl=64 time=58.5 ms
32 bytes from 192.168.200.109: icmp_seq=282 ttl=64 time=56.5 ms
32 bytes from 192.168.200.109: icmp_seq=283 ttl=64 time=56.8 ms
32 bytes from 192.168.200.109: icmp_seq=284 ttl=64 time=60.4 ms
32 bytes from 192.168.200.109: icmp_seq=285 ttl=64 time=51.8 ms
32 bytes from 192.168.200.109: icmp_seq=286 ttl=64 time=56.1 ms
32 bytes from 192.168.200.109: icmp_seq=287 ttl=64 time=59.1 ms
32 bytes from 192.168.200.109: icmp_seq=288 ttl=64 time=56.8 ms
32 bytes from 192.168.200.109: icmp_seq=289 ttl=64 time=52.2 ms
32 bytes from 192.168.200.109: icmp_seq=290 ttl=64 time=58.5 ms
32 bytes from 192.168.200.109: icmp_seq=291 ttl=64 time=58.7 ms
32 bytes from 192.168.200.109: icmp_seq=293 ttl=64 time=57.0 ms
32 bytes from 192.168.200.109: icmp_seq=294 ttl=64 time=55.8 ms
32 bytes from 192.168.200.109: icmp_seq=295 ttl=64 time=58.9 ms
32 bytes from 192.168.200.109: icmp_seq=296 ttl=64 time=61.4 ms
32 bytes from 192.168.200.109: icmp_seq=297 ttl=64 time=55.3 ms
32 bytes from 192.168.200.109: icmp_seq=299 ttl=64 time=54.5 ms
32 bytes from 192.168.200.109: icmp_seq=300 ttl=64 time=57.6 ms
32 bytes from 192.168.200.109: icmp_seq=301 ttl=64 time=59.4 ms
32 bytes from 192.168.200.109: icmp_seq=302 ttl=64 time=57.8 ms
32 bytes from 192.168.200.109: icmp_seq=303 ttl=64 time=54.0 ms
32 bytes from 192.168.200.109: icmp_seq=304 ttl=64 time=55.4 ms
32 bytes from 192.168.200.109: icmp_seq=305 ttl=64 time=56.1 ms
32 bytes from 192.168.200.109: icmp_seq=306 ttl=64 time=54.7 ms
32 bytes from 192.168.200.109: icmp_seq=308 ttl=64 time=55.0 ms
32 bytes from 192.168.200.109: icmp_seq=309 ttl=64 time=57.4 ms
